id_registro_actividad,id_persona,tipo,fecha,hora_inicio,estado_asistencia_actividad,tema,id_evento,hora_fin,id_motivo_cancelar,id_tipo_asistencia,id_usuario_can,fecha_inscripcion_actividad,fecha_cancelacion,id_usuario_registro,id_registro_formulario
20214,17198,TALLER,2025-04-21,16:00,AG,"WEBINAR - CREACIÓN DE CONTENIDOS Y EVALUACIONES CON IA",541,17:00,NULL,2,NULL,"2025-04-20 19:54:02",NULL,20517,1665
45042,17198,TALLER,2026-02-25,14:30,AG,"EDUCACIÓN FINANCIERA  EL CUAL INTEGRARÁ EL USO PRÁCTICO DE LA INTELIGENCIA ARTIFICIAL COMO HERRAMIENTA DE APRENDIZAJE Y CRECIMIENTO ECONÓMICO PARA EMPRENDEDORES",993,16:30,NULL,1,NULL,"2026-02-19 21:39:16",NULL,20517,21958
46124,17198,TALLER,2026-03-04,10:00,AG,"MENTALIDAD QUE CONSTRUYE NEGOCIOS",1002,12:00,NULL,1,NULL,"2026-03-02 20:46:18",NULL,20517,23943
20487,17214,"FERIAS CE",2025-04-27,09:00,AG,"CONVOCATORIA PARA FERIA DE EMPRENDIMIENTO PEATONALIZACIÓN DE CALLE PANAMÁ",544,16:00,NULL,1,NULL,"2025-04-21 22:38:00",NULL,3486,NULL
21765,17214,"FERIAS CE",2025-05-18,10:00,AG,"CONVOCATORIA FERIA RUTA CENTRO 18 DE MAYO",567,17:00,NULL,1,NULL,"2025-05-13 01:47:52",NULL,20517,3303
28070,17214,"FERIAS CE",2025-05-24,10:00,AG,"FERIAS EPICO EN EL FARO",572,17:00,NULL,1,NULL,"2025-05-20 16:06:30",NULL,20517,6726
31152,17214,"FERIAS CE",2025-07-13,10:00,AG,"RUTA CENTRO",604,17:00,NULL,1,NULL,"2025-07-07 21:41:46",NULL,20517,10763
31569,17214,"FERIAS CE",2025-07-20,10:00,AG,"RUTA CENTRO 20 DE JULIO",609,17:00,NULL,1,NULL,"2025-07-16 01:21:56",NULL,20517,11311
33952,17214,TALLER,2025-08-24,10:00,AG,"CONVOCATORIA RUTA CENTRO 10 DE AGOSTO",635,17:00,NULL,1,NULL,"2025-08-18 13:30:36",NULL,16030,NULL
34648,17214,TALLER,2025-08-31,10:00,AG,"CONVOCATORIA RUTA CENTRO 10 DE AGOSTO",647,17:00,NULL,1,NULL,"2025-08-28 18:45:51",NULL,16030,NULL
34794,17214,TALLER,2025-09-07,10:00,AG,"CONOVOCATORIA RUTA CENTRO",652,17:00,NULL,1,NULL,"2025-09-01 15:04:02",NULL,16030,NULL
36511,17214,SERVICIO,2025-09-17,09:00,AG,"CONVOCATORIA PARA FOTOGRAFIA DE PRODUCTO",658,14:00,NULL,1,NULL,"2025-09-15 22:30:07",NULL,20517,16004
458,17217,TALLER,2024-02-05,14:30,AG,"ADN Emprendedor",26,16:30,NULL,1,NULL,"2024-01-30 13:41:58",NULL,16033,NULL
459,17217,TALLER,2024-02-06,14:30,AG,"Descubriendo el propósito de tener un emprendimiento",27,16:30,NULL,1,NULL,"2024-01-30 13:42:16",NULL,16033,NULL
460,17217,TALLER,2024-02-07,14:30,AG,"Análisis de potencial de negocio",28,16:30,NULL,1,NULL,"2024-01-30 13:42:25",NULL,16033,NULL
461,17217,TALLER,2024-02-09,14:30,AG,"Introducción a modelo de negocios",30,16:30,NULL,2,NULL,"2024-01-30 13:42:41",NULL,16033,NULL
462,17217,TALLER,2024-02-08,14:30,AG,"Categorización de Servicios y Productos",29,16:30,NULL,1,NULL,"2024-01-30 13:42:48",NULL,16033,NULL
463,17217,TALLER,2024-02-14,14:30,AG,"Comunicación Asertiva",31,16:30,NULL,1,NULL,"2024-01-30 13:43:00",NULL,16033,NULL
464,17217,TALLER,2024-02-15,14:30,AG,"Introducción a los canales de ventas",32,16:30,NULL,1,NULL,"2024-01-30 13:43:08",NULL,16033,NULL
465,17217,TALLER,2024-02-16,14:30,AG,"Definiendo el Modelo de Negocio",33,16:30,NULL,1,NULL,"2024-01-30 13:43:21",NULL,16033,NULL
466,17217,TALLER,2024-02-19,14:30,AG,"Creación de Propuesta de Valor",34,16:30,NULL,2,NULL,"2024-01-30 13:43:29",NULL,16033,NULL
467,17217,TALLER,2024-02-20,14:30,AG,"Definición de Cliente",35,16:30,NULL,1,NULL,"2024-01-30 13:43:43",NULL,16033,NULL
3339,17217,CHARLA,2024-04-09,11:30,AS,"Conversatorio Arcilla y Legado: El Arte de la Cerámica con Delguasmo",86,13:00,NULL,1,NULL,"2024-04-08 15:15:56",NULL,3486,NULL
10473,17220,TALLER,2024-10-17,15:00,AG,"LAS 5 FASES PARA EL DESARROLLO DE UN PRODUCTO GANADOR",385,17:00,NULL,1,NULL,"2024-10-16 09:07:37",NULL,3486,NULL
10488,17220,"FERIAS CE",2024-10-19,09:00,AG,"Feria Guayaquil ",382,13:00,NULL,1,NULL,"2024-10-17 12:53:57",NULL,3486,NULL
10673,17220,TALLER,2024-10-26,10:00,AG,"FERIA MALECON PARA TODOS",393,20:00,NULL,1,NULL,"2024-10-21 05:29:44",NULL,16036,NULL
11718,17220,TALLER,2024-11-25,09:00,AG,"EMPRESAPIENS DE FOTOGRAFÍA  EDICIÓN DE FOTOS Y VIDEOS",411,11:00,NULL,1,NULL,"2024-11-17 14:01:43",NULL,16036,NULL
11835,17220,CHARLA,2024-11-22,10:00,AG,"Conversatorio Semana del Emprendimiento",413,11:30,NULL,1,NULL,"2024-11-19 17:42:18",NULL,3486,NULL
12374,17220,TALLER,2024-11-28,12:00,AG,"SERVICIOS DE FOTOGRAFIA DE PRODUCTOS",421,12:01,NULL,1,NULL,"2024-11-30 12:21:40",NULL,3486,NULL
2871,17222,CHARLA,2024-04-05,17:00,AG,"Charla "Inteligencia Artificial"- GRUPO 1",87,18:00,NULL,1,NULL,"2024-04-04 11:56:41",NULL,3486,NULL
3929,17222,EVENTO,2024-04-25,10:00,AG,"ASESORÍA PERSONALIZADA EN SERVICIOS DEL SRI",93,16:00,NULL,1,NULL,"2024-04-21 03:33:33",NULL,15369,NULL
3930,17222,EVENTO,2024-04-25,10:00,AG,"ASESORÍA PERSONALIZADA EN SERVICIOS DEL MPCEIP",94,16:00,NULL,1,NULL,"2024-04-21 03:33:34",NULL,15369,NULL
3931,17222,EVENTO,2024-04-25,10:00,AG,"ASESORÍA PERSONALIZADA EN SERVICIOS DEL ARCSA",95,16:00,NULL,1,NULL,"2024-04-21 03:33:36",NULL,15369,NULL
3932,17222,EVENTO,2024-04-25,10:00,AG,"ASESORÍA PERSONALIZADA EN SERVICIOS DEL SENADI",96,16:00,NULL,1,NULL,"2024-04-21 03:33:37",NULL,15369,NULL
3933,17222,EVENTO,2024-04-25,10:00,AG,"ASESORÍA PERSONALIZADA EN SERVICIOS DEL IESS",97,16:00,NULL,1,NULL,"2024-04-21 03:33:38",NULL,15369,NULL
3934,17222,EVENTO,2024-04-25,10:00,AG,"ASESORÍA PERSONALIZADA EN SERVICIOS DE PAYPHONE",98,16:00,NULL,1,NULL,"2024-04-21 03:33:39",NULL,15369,NULL
3935,17222,EVENTO,2024-04-25,10:00,AG,"ASESORÍA PERSONALIZADA EN SERVICIOS DE EPICO",99,16:00,NULL,1,NULL,"2024-04-21 03:33:41",NULL,15369,NULL
4527,17222,"ASESORIA FINANZAS",2024-04-30,15:00,CA,"  ASESORIA DE FINANZAS 1 - COSTEO UNITARIO - H2",115,17:00,5,1,16038,"2024-04-29 17:31:04","2024-04-30 12:29:11",16038,NULL
4593,17222,"ASESORIA FINANZAS",2024-05-01,17:00,AS,"ASESORIA DE FINANZAS  GRUPALES 1 - COSTEO UNITARIO ",121,19:00,NULL,2,NULL,"2024-04-30 12:29:13",NULL,16038,NULL
5551,17222,"ASESORIA DISEÑO",2024-05-13,14:00,AS,"ASESORÍA  DE DISEÑO DE MARCAS GRUPALES 1 - MOODBOARD",179,16:00,NULL,2,NULL,"2024-05-13 07:16:34",NULL,16038,NULL
5620,17222,"ASESORIA DISEÑO",2024-05-18,09:00,AS,"ASESORÍA  DE DISEÑO DE MARCAS GRUPALES 2 - LINEA GRÁFICA",188,11:00,NULL,2,NULL,"2024-05-13 09:20:44",NULL,16038,NULL
5625,17222,"ASESORIA FINANZAS",2024-05-18,11:00,AS,"ASESORÍA  DE FINANZAS GRUPALES 2 - ESTADO DE RESULTADO",178,13:00,NULL,2,NULL,"2024-05-13 09:29:20",NULL,16038,NULL
6180,17222,"ASESORIA DISEÑO",2024-05-23,09:00,AS,"ASESORÍA DE DISEÑO DE MARCAS GRUPALES 3 - CANALES DE COMUNICACIÓN",215,11:00,NULL,2,NULL,"2024-05-22 15:08:35",NULL,16038,NULL
6513,17222,"ASESORIA FINANZAS",2024-06-01,16:00,NA,"ASESORÍA  DE FINANZAS GRUPALES 4 - FLUJO DE EFECTIVO ",241,18:00,NULL,2,NULL,"2024-05-30 16:49:39",NULL,16038,NULL
6538,17222,"ASESORIA FINANZAS",2024-06-04,17:00,AS,"ASESORÍA  DE FINANZAS GRUPALES 3: PUNTO EQUILIBRIO ",242,19:00,NULL,2,NULL,"2024-06-03 12:38:11",NULL,16038,NULL
6758,17222,TALLER,2024-06-14,14:00,AG,"FINANZAS PERSONALES PARA EMPRENDEDORES ",243,16:30,NULL,1,NULL,"2024-06-16 04:52:13",NULL,3486,NULL
33598,17222,TALLER,2025-08-13,10:00,AS,"COMO OBTNER EL CODIGO SW BARRA PARA TUS PRODUCTOS",633,11:00,NULL,1,NULL,"2025-08-12 21:37:36",NULL,20517,13409
33606,17222,TALLER,2025-08-13,13:00,AS,"COMPOSICION DE BASICA DE FOTOGRAFIA PARA PRODUCTOS",634,15:00,NULL,1,NULL,"2025-08-12 22:13:32",NULL,20517,13419
33770,17222,EVENTO,2025-08-19,10:00,AS,"POTENCIA TU ROL PROFESIONAL CON INTELIGENCIA ARTIFICAL Y ESTRATEGIA (19 Y 20)",620,12:00,NULL,1,NULL,"2025-08-14 19:20:36",NULL,20517,13613
34061,17222,EVENTO,2025-08-21,11:00,AS,"CONSTRUYE TU MARCA PERSONAL DIGITAL PARA TRABAJAR REMOTO",627,13:00,NULL,1,NULL,"2025-08-18 19:09:56",NULL,20517,13847
