id_emprendedor,fecha_nacimiento,id_genero,id_ciudad,email,id_situacion_laboral,tipo_identificacion,id_nivel_academico,id_usuario,id_ciudad_nacimiento,fecha_registro_perfil,estado_emprendedor,uso_datos,latitud,longitud,pais_natal,estado_civil,carnet_discapacidad,id_estado_civil,id_etnia,parroquia,sector,empresa_labora,empresa_cargo,emprendimiento_nombre,emprendimiento_categoria,emprendimiento_red_social
17198,1973-02-12,1,100,hotmail.com,2,C,4,16014,9536,"2024-01-02 09:29:19",A,SI,-2.2016177,-79.9041629,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17199,1980-05-15,1,203,gmail.com,3,C,4,16015,NULL,"2024-01-02 11:03:40",A,SI,-0.1423661,-78.4937354,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17200,1990-08-11,2,100,gmail.com,1,C,5,16016,NULL,"2024-01-02 12:00:40",A,SI,-2.2171673,-79.8865463,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17201,2000-09-12,2,100,gmail.com,4,C,3,16017,NULL,"2024-01-02 12:44:24",A,SI,-2.1821314,-79.889293,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17202,1963-03-03,2,100,hotmail.com,5,C,2,16018,NULL,"2024-01-02 13:13:33",A,SI,-2.1984775,-79.9340031,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17203,1986-03-04,2,100,gmail.com,4,C,3,16019,NULL,"2024-01-02 13:47:07",A,SI,-2.2363101,-79.8935457,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17204,2001-04-19,2,100,gmail.com,4,C,4,16020,NULL,"2024-01-02 13:58:44",A,SI,-2.2273539,-79.9049235,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17205,1991-11-21,1,100,gmail.com,3,C,3,16021,NULL,"2024-01-02 15:10:28",A,SI,-2.1088129,-79.9031776,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17206,1993-04-14,2,100,hotmail.es,3,C,2,16022,NULL,"2024-01-02 16:50:14",A,SI,-2.2226113,-79.9293015,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17207,1998-07-28,2,100,gmail.com,3,C,4,16023,NULL,"2024-01-02 19:00:35",A,SI,-2.0344691136324,-79.887570581932,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17208,2002-06-05,1,100,gmail.com,4,C,4,16024,NULL,"2024-01-02 22:28:08",A,SI,-2.1517465011591,-79.910795009767,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17209,1981-03-16,2,100,yahoo.es,3,C,4,16025,NULL,"2024-01-03 11:40:49",A,SI,-2.1784001,-79.9040414,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17210,1991-07-15,1,100,gmail.com,1,C,4,16026,NULL,"2024-01-03 14:04:30",A,SI,-2.1764047,-79.8779078,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17211,2002-12-01,2,100,gmail.com,1,C,4,16027,NULL,"2024-01-04 12:40:27",A,SI,-2.1584054,-79.9045771,EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
